2021-10-10 21:09:45 INFO  LogHelper:24 - [INFO:]Starting execution of scenario: Adding of To Do list of item
2021-10-10 21:09:51 INFO  LogHelper:24 - [INFO:]Value entered is: Logo Designing
2021-10-10 21:09:51 INFO  LogHelper:24 - [INFO:]Enter is clicked
2021-10-10 21:09:51 INFO  LogHelper:24 - [INFO:]Text displayed on UI: Logo Designing
2021-10-10 21:09:51 INFO  LogHelper:24 - [INFO:]Enabled Status of element is: true
2021-10-10 21:09:51 INFO  LogHelper:24 - [INFO:]Enabled Status of element is: true
2021-10-10 21:09:51 INFO  LogHelper:24 - [INFO:]Text displayed on UI: 1 item left
2021-10-10 21:09:51 INFO  LogHelper:24 - [INFO:]Element is Clicked
2021-10-10 21:09:51 INFO  LogHelper:24 - [INFO:]Text displayed on UI: Logo Designing
2021-10-10 21:09:51 INFO  LogHelper:24 - [INFO:]Text displayed on UI: 1 item left
2021-10-10 21:09:52 INFO  LogHelper:24 - [INFO:]Ended execution of scenario: Adding of To Do list of item
2021-10-10 21:09:52 INFO  LogHelper:24 - [INFO:]Starting execution of scenario: Completing of To Do list of item
2021-10-10 21:10:07 INFO  LogHelper:24 - [INFO:]Value entered is: Logo Designing
2021-10-10 21:10:07 INFO  LogHelper:24 - [INFO:]Enter is clicked
2021-10-10 21:10:07 INFO  LogHelper:24 - [INFO:]Text displayed on UI: Logo Designing
2021-10-10 21:10:07 INFO  LogHelper:24 - [INFO:]Enabled Status of element is: true
2021-10-10 21:10:07 INFO  LogHelper:24 - [INFO:]Enabled Status of element is: true
2021-10-10 21:10:07 INFO  LogHelper:24 - [INFO:]Text displayed on UI: 1 item left
2021-10-10 21:10:07 INFO  LogHelper:24 - [INFO:]Element is Clicked
2021-10-10 21:10:07 INFO  LogHelper:24 - [INFO:]Element is Clicked
2021-10-10 21:10:07 INFO  LogHelper:24 - [INFO:]Element is Clicked
2021-10-10 21:10:07 INFO  LogHelper:24 - [INFO:]Text displayed on UI: Logo Designing
2021-10-10 21:10:07 INFO  LogHelper:24 - [INFO:]Text displayed on UI: 0 items left
2021-10-10 21:10:08 INFO  LogHelper:24 - [INFO:]Ended execution of scenario: Completing of To Do list of item
2021-10-10 21:10:08 INFO  LogHelper:24 - [INFO:]Starting execution of scenario: Editing of To Do list of item
